mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.51,"24km SSW of Ocotillo Wells, CA",1620861149960,1620912184480,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650495,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650495&format=geojson,,,,,reviewed,0,35,ci,39650495,",ci39650495,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.07136,0.23,57.0,ml,earthquake,"M 1.5 - 24km SSW of Ocotillo Wells, CA"
2.1,"15 km NNW of Midland, Texas",1620860425756,1620929657493,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhcl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhcl&format=geojson,,,,,reviewed,0,68,tx,2021jhcl,",tx2021jhcl,",",tx,",",origin,phase-data,",21.0,0.0120988375,0.1,61.0,ml,earthquake,"M 2.1 - 15 km NNW of Midland, Texas"
0.36,"1km NNW of The Geysers, CA",1620860124720,1620861732338,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561780,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561780&format=geojson,,,,,automatic,0,2,nc,73561780,",nc73561780,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.01267,0.01,187.0,md,earthquake,"M 0.4 - 1km NNW of The Geysers, CA"
1.22,"1km NNW of The Geysers, CA",1620860069490,1620875531056,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561775,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561775&format=geojson,,,,,automatic,0,23,nc,73561775,",nc73561775,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.01275,0.04,74.0,md,earthquake,"M 1.2 - 1km NNW of The Geysers, CA"
-0.1,"7km SSW of Searles Valley, CA",1620859914600,1620869461613,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650479,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650479&format=geojson,,,,,reviewed,0,0,ci,39650479,",ci39650479,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.1266,0.03,182.0,ml,earthquake,"M -0.1 - 7km SSW of Searles Valley, CA"
1.3,"46 km W of Anchor Point, Alaska",1620859913426,1620860813298,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162oce3y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162oce3y&format=geojson,,,,,automatic,0,26,ak,02162oce3y,",ak02162oce3y,",",ak,",",origin,",,,0.34,,ml,earthquake,"M 1.3 - 46 km W of Anchor Point, Alaska"
3.46,"108 km N of Charlotte Amalie, U.S. Virgin Islands",1620859891310,1620861285040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021132010,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021132010&format=geojson,,,,,reviewed,0,184,pr,2021132010,",us7000e2mq,pr2021132010,",",us,pr,",",origin,phase-data,",8.0,1.4789,0.24,335.0,md,earthquake,"M 3.5 - 108 km N of Charlotte Amalie, U.S. Virgin Islands"
1.49,"4 km S of Marysvale, Utah",1620859659110,1620918688520,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60435892,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60435892&format=geojson,,,,,reviewed,0,34,uu,60435892,",uu60435892,",",uu,",",origin,phase-data,",10.0,0.2677,0.15,88.0,ml,earthquake,"M 1.5 - 4 km S of Marysvale, Utah"
1.9,"16 km NNW of Midland, Texas",1620859231115,1620932097217,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhbu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhbu&format=geojson,,,,,reviewed,0,56,tx,2021jhbu,",tx2021jhbu,",",tx,",",origin,phase-data,",23.0,0.010356396,0.2,62.0,ml,earthquake,"M 1.9 - 16 km NNW of Midland, Texas"
1.97,"11 km SE of Katie, Oklahoma",1620858438550,1620920725978,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jhbj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jhbj&format=geojson,,,,,reviewed,0,60,ok,2021jhbj,",ok2021jhbj,",",ok,",",origin,phase-data,",46.0,0.09808075321,0.39,97.0,ml,quarry blast,"M 2.0 Quarry Blast - 11 km SE of Katie, Oklahoma"
1.7,"54 km S of Whites City, New Mexico",1620858120708,1620935556951,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhbe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhbe&format=geojson,,,,,reviewed,0,44,tx,2021jhbe,",tx2021jhbe,",",tx,",",origin,phase-data,",13.0,0.08768223447,0.3,64.0,ml,earthquake,"M 1.7 - 54 km S of Whites City, New Mexico"
2.42,"18km E of Little Lake, CA",1620858040770,1620929072980,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650463,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650463&format=geojson,,,,,reviewed,0,90,ci,39650463,",ci39650463,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",38.0,0.04438,0.15,43.0,ml,earthquake,"M 2.4 - 18km E of Little Lake, CA"
2.1,"52 km NW of Toyah, Texas",1620857526614,1620932573879,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhav,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhav&format=geojson,,,,,reviewed,0,68,tx,2021jhav,",tx2021jhav,",",tx,",",origin,phase-data,",29.0,0.1601191381,0.3,56.0,ml,earthquake,"M 2.1 - 52 km NW of Toyah, Texas"
1.6,"27 km SSE of Mina, Nevada",1620857114405,1620864224066,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807125,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807125&format=geojson,,,,,reviewed,0,39,nn,00807125,",nn00807125,",",nn,",",origin,phase-data,",21.0,0.036,0.1301,118.19,ml,earthquake,"M 1.6 - 27 km SSE of Mina, Nevada"
0.66,"9 km SSW of Darrington, Washington",1620856847520,1620859540320,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61732221,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61732221&format=geojson,,,,,reviewed,0,7,uw,61732221,",uw61732221,",",uw,",",origin,phase-data,",4.0,0.1806,0.06,178.0,md,earthquake,"M 0.7 - 9 km SSW of Darrington, Washington"
5.1,"Rat Islands, Aleutian Islands, Alaska",1620856833846,1620943838444,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e2ma,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e2ma&format=geojson,,,,,reviewed,0,400,us,7000e2ma,",us7000e2ma,ak02162o1lcv,",",us,ak,",",oaf,origin,phase-data,",,1.546,0.87,109.0,mb,earthquake,"M 5.1 - Rat Islands, Aleutian Islands, Alaska"
2.43,"5 km SE of La Parguera, Puerto Rico",1620855306940,1620858528280,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021132009,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021132009&format=geojson,,,,,reviewed,0,91,pr,2021132009,",pr2021132009,",",pr,",",origin,phase-data,",8.0,0.0484,0.22,229.0,md,earthquake,"M 2.4 - 5 km SE of La Parguera, Puerto Rico"
1.0,"36 km WNW of Anchor Point, Alaska",1620855157196,1620855321283,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162nmuo7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162nmuo7&format=geojson,,,,,automatic,0,15,ak,02162nmuo7,",ak02162nmuo7,",",ak,",",origin,",,,0.39,,ml,earthquake,"M 1.0 - 36 km WNW of Anchor Point, Alaska"
0.86,"10km WNW of The Geysers, CA",1620854750630,1620858311918,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561760,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561760&format=geojson,,,,,automatic,0,11,nc,73561760,",nc73561760,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.003399,0.02,68.0,md,earthquake,"M 0.9 - 10km WNW of The Geysers, CA"
-0.02,"23km E of Little Lake, CA",1620854288500,1620868360029,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650415,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650415&format=geojson,,,,,reviewed,0,0,ci,39650415,",ci39650415,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.01059,0.09,116.0,ml,earthquake,"M 0.0 - 23km E of Little Lake, CA"
1.1,"85 km E of McCarthy, Alaska",1620854274053,1620854599044,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162njodu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162njodu&format=geojson,,,,,automatic,0,19,ak,02162njodu,",ak02162njodu,",",ak,",",origin,",,,0.64,,ml,earthquake,"M 1.1 - 85 km E of McCarthy, Alaska"
0.35,"6km NW of The Geysers, CA",1620854183180,1620855314430,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561755,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561755&format=geojson,,,,,automatic,0,2,nc,73561755,",nc73561755,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.009598,0.02,89.0,md,earthquake,"M 0.4 - 6km NW of The Geysers, CA"
0.89,"6km NW of The Geysers, CA",1620853694590,1620854895793,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561750,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561750&format=geojson,,,,,automatic,0,12,nc,73561750,",nc73561750,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.01029,0.02,59.0,md,earthquake,"M 0.9 - 6km NW of The Geysers, CA"
0.9,"61 km ENE of McCarthy, Alaska",1620853214097,1620854296705,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162nfxz3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162nfxz3&format=geojson,,,,,automatic,0,12,ak,02162nfxz3,",ak02162nfxz3,",",ak,",",origin,",,,0.35,,ml,earthquake,"M 0.9 - 61 km ENE of McCarthy, Alaska"
0.83,"19km E of Little Lake, CA",1620853072240,1620854129366,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650391&format=geojson,,,,,reviewed,0,11,ci,39650391,",ci39650391,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.04166,0.11,70.0,ml,earthquake,"M 0.8 - 19km E of Little Lake, CA"
1.2,"85 km NW of Karluk, Alaska",1620853015238,1620881562140,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162n6ln7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162n6ln7&format=geojson,,,,,automatic,0,22,ak,02162n6ln7,",av91027093,ak02162n6ln7,",",av,ak,",",origin,phase-data,",,,0.37,,ml,earthquake,"M 1.2 - 85 km NW of Karluk, Alaska"
0.56,"38 km NNE of Amboy, Washington",1620852991940,1620858555440,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61732211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61732211&format=geojson,,,,,reviewed,0,5,uw,61732211,",uw61732211,",",uw,",",origin,phase-data,",7.0,0.006272,0.09,85.0,ml,earthquake,"M 0.6 - 38 km NNE of Amboy, Washington"
1.43,"6km NW of The Geysers, CA",1620852834140,1620863772722,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561745,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561745&format=geojson,,,,,automatic,0,31,nc,73561745,",nc73561745,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.01149,0.02,30.0,md,earthquake,"M 1.4 - 6km NW of The Geysers, CA"
1.5,"76 km NW of Yakutat, Alaska",1620852777095,1620853003687,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162n5qx9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162n5qx9&format=geojson,,,,,automatic,0,35,ak,02162n5qx9,",ak02162n5qx9,",",ak,",",origin,",,,0.79,,ml,earthquake,"M 1.5 - 76 km NW of Yakutat, Alaska"
0.34,"1km WNW of The Geysers, CA",1620852408400,1620854352159,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561740,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561740&format=geojson,,,,,automatic,0,2,nc,73561740,",nc73561740,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.009978,0.03,93.0,md,earthquake,"M 0.3 - 1km WNW of The Geysers, CA"
0.95,"6km NW of The Geysers, CA",1620851885760,1620853693102,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561735&format=geojson,,,,,automatic,0,14,nc,73561735,",nc73561735,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.01036,0.02,31.0,md,earthquake,"M 1.0 - 6km NW of The Geysers, CA"
1.05,"2km SE of Home Gardens, CA",1620851432140,1620864529024,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650367&format=geojson,,,,,reviewed,0,17,ci,39650367,",ci39650367,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.06765,0.16,86.0,ml,quarry blast,"M 1.1 Quarry Blast - 2km SE of Home Gardens, CA"
1.68,"9km NNW of Redwood Valley, CA",1620851351440,1620943876080,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561730,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561730&format=geojson,,,,,reviewed,0,43,nc,73561730,",nc73561730,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.0468,0.07,85.0,md,earthquake,"M 1.7 - 9km NNW of Redwood Valley, CA"
2.96,"6 km SSE of La Parguera, Puerto Rico",1620851323800,1620853721280,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021132008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021132008&format=geojson,,,,,reviewed,0,135,pr,2021132008,",pr2021132008,",",pr,",",origin,phase-data,",21.0,0.0531,0.15,232.0,md,earthquake,"M 3.0 - 6 km SSE of La Parguera, Puerto Rico"
4.3,south of the Fiji Islands,1620851317281,1620852210040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e2lk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e2lk&format=geojson,,,,,reviewed,0,284,us,7000e2lk,",us7000e2lk,",",us,",",origin,phase-data,",,6.82,0.59,111.0,mb,earthquake,M 4.3 - south of the Fiji Islands
-0.7,"63 km ENE of Pedro Bay, Alaska",1620851294980,1620877027340,,https://earthquake.usgs.gov/earthquakes/eventpage/av91027008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91027008&format=geojson,,,,,reviewed,0,0,av,91027008,",av91027008,",",av,",",origin,phase-data,",4.0,,0.13,120.0,ml,earthquake,"M -0.7 - 63 km ENE of Pedro Bay, Alaska"
1.1,"42 km SSE of Mammoth, Wyoming",1620851192520,1620911510940,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60435882,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60435882&format=geojson,,,,,reviewed,0,19,uu,60435882,",uu60435882,",",uu,",",origin,phase-data,",9.0,0.08929,0.07,193.0,ml,earthquake,"M 1.1 - 42 km SSE of Mammoth, Wyoming"
3.77,"4 km ESE of La Parguera, Puerto Rico",1620850981190,1620937505202,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021132007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021132007&format=geojson,33.0,3.8,3.549,,reviewed,0,231,pr,2021132007,",us7000e2lg,pr2021132007,pt21132003,",",us,pr,pt,",",dyfi,internal-origin,origin,phase-data,shakemap,",24.0,0.0383,0.09,213.0,md,earthquake,"M 3.8 - 4 km ESE of La Parguera, Puerto Rico"
1.43,"8 km S of Chelan Falls, Washington",1620850505850,1620857800320,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61732196,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61732196&format=geojson,,,,,reviewed,0,31,uw,61732196,",uw61732196,",",uw,",",origin,phase-data,",11.0,0.04133,0.13,91.0,ml,earthquake,"M 1.4 - 8 km S of Chelan Falls, Washington"
1.1,"15 km NNE of Nikiski, Alaska",1620850329583,1620851460362,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162mx2l7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162mx2l7&format=geojson,,,,,automatic,0,19,ak,02162mx2l7,",ak02162mx2l7,",",ak,",",origin,",,,0.7,,ml,earthquake,"M 1.1 - 15 km NNE of Nikiski, Alaska"
1.16,"1km SE of Loma Linda, CA",1620850035110,1620927446572,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650327&format=geojson,,,,,reviewed,0,21,ci,39650327,",ci39650327,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.09183,0.15,81.0,ml,earthquake,"M 1.2 - 1km SE of Loma Linda, CA"
0.69,"3km SSW of Winchester, CA",1620849647050,1620852811737,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650319,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650319&format=geojson,,,,,reviewed,0,7,ci,39650319,",ci39650319,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.07132,0.24,88.0,ml,quarry blast,"M 0.7 Quarry Blast - 3km SSW of Winchester, CA"
1.4,"48 km WNW of Happy Valley, Alaska",1620849326987,1620849615848,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02162mkw5l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02162mkw5l&format=geojson,,,,,automatic,0,30,ak,02162mkw5l,",ak02162mkw5l,",",ak,",",origin,",,,0.31,,ml,earthquake,"M 1.4 - 48 km WNW of Happy Valley, Alaska"
1.95000005,"3 km SE of Pāhala, Hawaii",1620848954940,1620849148610,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72465467,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72465467&format=geojson,,,,,automatic,0,59,hv,72465467,",hv72465467,",",hv,",",origin,phase-data,",39.0,,0.109999999,120.0,md,earthquake,"M 2.0 - 3 km SE of Pāhala, Hawaii"
0.77,"27 km SSW of Kanosh, Utah",1620848287710,1620917544690,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60435867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60435867&format=geojson,,,,,reviewed,0,9,uu,60435867,",uu60435867,",",uu,",",origin,phase-data,",5.0,0.1136,0.04,169.0,md,earthquake,"M 0.8 - 27 km SSW of Kanosh, Utah"
2.18,"3 km SE of Pāhala, Hawaii",1620847945500,1620848275090,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72465447,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72465447&format=geojson,,,,,automatic,0,73,hv,72465447,",hv72465447,",",hv,",",origin,phase-data,",46.0,,0.119999997,123.0,ml,earthquake,"M 2.2 - 3 km SE of Pāhala, Hawaii"
1.4,"30 km SE of Mina, Nevada",1620847759606,1620863289963,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807122,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807122&format=geojson,,,,,reviewed,0,30,nn,00807122,",nn00807122,",",nn,",",origin,phase-data,",18.0,0.025,0.1178,109.24,ml,earthquake,"M 1.4 - 30 km SE of Mina, Nevada"
1.52,"4km SE of Loma Linda, CA",1620847696290,1620912181134,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650239,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650239&format=geojson,,,,,reviewed,0,36,ci,39650239,",ci39650239,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",41.0,0.09064,0.21,89.0,ml,earthquake,"M 1.5 - 4km SE of Loma Linda, CA"
2.01999998,"5 km E of Pāhala, Hawaii",1620847468870,1620847653450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72465437,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72465437&format=geojson,,,,,automatic,0,63,hv,72465437,",hv72465437,",",hv,",",origin,phase-data,",38.0,,0.140000001,144.0,md,earthquake,"M 2.0 - 5 km E of Pāhala, Hawaii"
0.69,"18km E of Little Lake, CA",1620847200390,1620925867066,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650231&format=geojson,,,,,reviewed,0,7,ci,39650231,",ci39650231,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.04219,0.09,53.0,ml,earthquake,"M 0.7 - 18km E of Little Lake, CA"
0.97,"18km E of Little Lake, CA",1620847164390,1620925601041,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650223,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650223&format=geojson,,,,,reviewed,0,14,ci,39650223,",ci39650223,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.04361,0.09,49.0,ml,earthquake,"M 1.0 - 18km E of Little Lake, CA"
0.81,"7km ESE of Mammoth Lakes, CA",1620846411310,1620856931565,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561720,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561720&format=geojson,,,,,reviewed,0,10,nc,73561720,",nc73561720,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.005289,0.06,119.0,md,earthquake,"M 0.8 - 7km ESE of Mammoth Lakes, CA"
1.99,"5 km ENE of Butte, Montana",1620846403840,1620848088210,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80501989,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80501989&format=geojson,,,,,reviewed,0,61,mb,80501989,",mb80501989,",",mb,",",origin,phase-data,",18.0,0.065,0.12,125.0,ml,quarry blast,"M 2.0 Quarry Blast - 5 km ENE of Butte, Montana"
